ticker,date,run_pct,drop_pct,retrace,run_bars,drop_bars,L_atr,n_sup,room_to_sup,nearest_gap,held_highest_HL,err_fixed35,err_fixed50,err_highHL,err_recentHL,err_launch,run_bkt
WMT,2022-05-18,1.3869511694706704,0.9996762182289133,0.7307692307692253,9,4,0.34723314631000113,2,1.0207100591715954,0.2899408284023702,True,0.3807692307692215,0.23076923076922107,0.2899408284023702,0.2899408284023702,0.2692307692307747,big
WMT,2022-05-19,1.3002264910661954,1.0599536270288183,0.8258064516128979,9,5,0.5060512192998274,2,1.090322580645161,0.26451612903226307,True,0.4758064516128979,0.3258064516128979,0.26451612903226307,0.26451612903226307,0.1741935483871021,big
WMT,2022-05-19,0.9248360517908261,0.7539153615461522,0.8227272727272674,11,3,0.29558244669855055,2,1.0363636363636288,0.21363636363636146,True,0.47272727272726545,0.32272727272727386,0.21363636363636146,0.21363636363636146,0.1772727272727326,small
WMT,2022-05-20,1.1169849931787195,0.6492958934142932,0.5877862595419915,8,7,0.2422074709462681,2,0.923664122137409,0.3358778625954175,True,0.23778625954199153,0.08778625954199153,0.3358778625954175,0.3358778625954175,0.41221374045800846,medium
WMT,2022-05-20,1.0071090047393345,0.4524507750314135,0.4537815126050362,6,2,0.21302128153566788,1,1.0588235294117592,0.6050420168067229,True,0.1037815126050362,0.0462184873949638,0.6050420168067229,0.5462184873949638,0.5462184873949638,medium
WMT,2022-05-23,1.383177570093463,0.639134709931171,0.4684684684684674,7,3,0.37519764905638847,2,1.0120120120120095,0.5435435435435422,True,0.1184684684684661,0.031531531531528344,0.5435435435435422,0.5435435435435422,0.5315315315315327,big
WMT,2022-05-23,1.868928042153804,0.8890325709205597,0.4845814977973584,20,9,0.3327714753293493,3,0.3259911894273153,0.1585903083700431,False,0.13458149779736028,0.0154185022026416,0.1585903083700431,0.1585903083700431,0.5154185022026416,huge
WMT,2022-05-24,0.5898738325413722,0.9040560351848831,1.5416666666666683,8,1,0.26133760633034026,3,0.8055555555555545,0.04166666666666831,False,1.1916666666666742,1.0416666666666683,0.7361111111111138,0.7361111111111138,0.5416666666666683,small
WMT,2022-05-24,1.6241489623492773,0.40358382436031964,0.25252525252525204,24,2,0.2791686321976254,5,0.33838383838383856,0.08585858585858655,True,0.09747474747474619,0.2474747474747444,0.08585858585858655,0.08585858585858655,0.747474747474748,big
WMT,2022-05-31,1.46345280951636,0.49363671423063227,0.3422459893048199,20,5,0.17191179404410822,3,0.5454545454545496,0.20320855614972969,True,0.007754010695186174,0.1577540106951801,0.20320855614972969,0.20320855614972969,0.6577540106951801,big
WMT,2022-06-01,1.034233945321889,0.4364386605300723,0.42635658914728725,10,4,0.17979978334988747,2,0.9767441860465106,0.5503875968992233,True,0.07635658914728835,0.07364341085271275,0.5503875968992233,0.5503875968992233,0.5736434108527128,medium
WMT,2022-06-02,1.2041422493377218,0.39660506068057433,0.3333333333333333,11,4,0.2895461132446737,2,1.0199999999999914,0.686666666666658,True,0.016666666666670455,0.16666666666666666,0.686666666666658,0.686666666666658,0.6666666666666666,medium
WMT,2022-06-07,1.0313090640151168,0.6059620155353942,0.5936254980079626,8,8,0.3227087375600202,2,1.0756972111553778,0.48207171314741526,True,0.24362549800796032,0.09362549800796258,0.48207171314741526,0.48207171314741526,0.4063745019920374,medium
