ticker,has_res,level_dist_atr,age_bars,touches,res_drop_dep,res_drop_spd,reached,stalled,broke,short,cont_atr,apex_at_res,apex_placebo
AAPL,True,1.366054520827488,121.0,1.0,0.47142502687950716,0.04285682062540975,True,False,True,False,15.695687657670629,True,False
AAPL,True,1.2611267265018915,374.0,4.0,0.34399912635142266,0.057333187725237114,True,False,True,False,8.779382211417332,False,False
AAPL,True,2.59987603371755,397.0,2.0,0.28738808444788894,0.02612618949526263,True,False,True,False,16.005486832574075,False,True
AAPL,True,1.4212611041992453,117.0,1.0,0.5027346555438907,0.04570315050399007,True,False,True,False,9.664575508555119,True,True
AAPL,True,1.0836798184475944,2.0,1.0,0.21256362924429367,0.10628181462214684,True,False,True,False,6.001918994478529,True,True
AAPL,True,1.9652171832488186,5.0,1.0,0.3391930155733937,0.06783860311467874,True,False,True,False,4.239774108305132,True,True
AAPL,True,1.195741739565256,91.0,1.0,0.3102195172393451,0.3102195172393451,True,False,True,False,12.025100890344227,False,False
AAPL,True,1.4668239793415592,8.0,2.0,0.34060143809496546,0.34060143809496546,True,False,True,False,2.5180478312030363,False,False
AAPL,True,1.5906369817588133,18.0,1.0,0.8783881721988616,0.2927960573996205,True,False,True,False,3.3924204655210577,False,False
AAPL,True,1.9075512858590769,138.0,2.0,0.34060143809496546,0.34060143809496546,True,False,True,False,3.007042652013942,True,True
AAPL,True,1.0681000700574026,227.0,3.0,0.588201372469875,0.08402876749569642,True,False,True,False,1.8811314666682273,True,True
AAPL,True,1.139120640982268,167.0,2.0,0.20372526193249285,0.06790842064416427,True,False,True,False,28.527543008944935,False,False
AAPL,True,1.34810893190696,191.0,1.0,1.1041143083048508,0.07886530773606078,True,False,True,False,7.308169472969472,False,False
AAPL,True,1.0841704268164332,346.0,3.0,0.20482209737827384,0.04096441947565477,True,False,True,False,4.375868590162826,True,True
AAPL,True,1.169520868935359,1164.0,1.0,0.47915809277441224,0.043559826615855654,True,False,True,False,17.63052709919895,True,True
AAPL,True,2.240423314396306,57.0,3.0,0.1419950301739493,0.04733167672464976,True,False,True,False,10.305947246222244,True,True
AAPL,True,1.12036087948585,1470.0,1.0,0.6714967308711873,0.04476644872474582,True,False,True,False,6.674490345872653,True,True
AAPL,True,1.664275693543575,11.0,2.0,0.1185079844754473,0.1185079844754473,True,False,True,False,9.615815118252094,True,True
AAPL,True,1.1892605210505605,1943.0,5.0,0.8695141296046167,0.06210815211461548,True,False,True,False,18.763888221019204,True,False
AAPL,True,1.732801098915205,1530.0,2.0,1.0843995639451411,0.06777497274657132,True,False,True,False,12.342407827361088,False,False
AAPL,True,1.0871769753171214,1423.0,4.0,1.21603105731902,0.13511456192433555,True,False,True,False,3.2841804462705793,True,True
AAPL,True,1.070934604796828,761.0,8.0,0.20110013603832935,0.10055006801916468,True,False,True,False,3.4740073765361137,True,True
AAPL,True,1.1051516727197548,98.0,3.0,0.464835496528832,0.06640507093269028,True,False,True,False,8.420203220721591,True,False
AAPL,True,1.3627690729122397,45.0,1.0,0.24721133554416438,0.08240377851472146,True,False,True,False,2.8264840030772413,False,True
AAPL,True,1.496498062514063,88.0,3.0,1.0967277957569295,0.10967277957569294,True,False,True,False,6.817380062563374,True,True
AAPL,True,1.093026216195965,376.0,4.0,0.7591033092159893,0.1265172182026649,True,False,True,False,10.76630822952933,True,True
AAPL,True,1.1025033746508253,1148.0,3.0,0.34744714681114386,0.06948942936222878,True,False,True,False,7.567182253285203,True,True
AAPL,True,1.3903378433444604,775.0,2.0,3.1539568345323685,0.12615827338129473,True,False,True,False,3.6002432575025107,True,True
AAPL,True,1.272843396411451,814.0,7.0,0.7542278003653298,0.18855695009133244,True,False,True,False,2.984986726097637,True,True
AAPL,True,1.284567875908413,273.0,6.0,0.49614756012140687,0.24807378006070344,True,False,True,False,6.329416261294135,True,True
AAPL,True,2.9127295176326355,6.0,1.0,2.2944857463764197,0.3824142910627366,False,False,False,True,,False,True
AAPL,True,1.3089325255962365,12.0,1.0,0.3529379325557751,0.08823448313894378,True,False,True,False,14.772238503157544,True,False
AAPL,True,1.093366433543968,224.0,4.0,0.8062532455109428,0.11517903507299183,True,False,True,False,24.583109812262677,False,False
AAPL,True,3.4577285532127506,76.0,1.0,0.9004223219740195,0.10004692466377996,True,False,True,False,9.879224437750668,False,False
AAPL,True,1.1244455536043731,41.0,2.0,0.19213560035795604,0.016011300029829673,True,False,True,False,10.907121869963026,False,False
AAPL,True,3.530455388780527,5.0,2.0,0.6362135974019174,0.1272427194803835,True,False,True,False,8.979636532332828,True,True
AAPL,True,1.4075241441894117,211.0,2.0,0.26634318715223515,0.06658579678805879,True,False,True,False,13.4098663919148,True,True
AAPL,True,1.2216830438202624,873.0,2.0,0.42228400566542873,0.028152267044361915,True,False,True,False,23.158861178506946,False,False
AAPL,True,1.8838599693253961,25.0,1.0,0.2327505948070844,0.046550118961416885,True,False,True,False,7.445732259714363,True,False
AAPL,True,1.2989716406954666,55.0,2.0,0.25724134382878017,0.03215516797859752,True,False,True,False,9.252324317936246,False,False
AAPL,True,1.4215844921512784,427.0,2.0,0.2327505948070844,0.046550118961416885,True,False,True,False,15.462465168476287,False,False
AAPL,True,1.2984216194034497,4.0,1.0,0.45900678744079193,0.11475169686019798,True,False,True,False,1.8117510968420798,False,False
AAPL,True,1.6393008088002892,6.0,2.0,0.5803788246721676,0.09672980411202793,True,False,True,False,29.862188614040342,False,False
AAPL,True,2.2694978834689934,10.0,1.0,1.1931857369473882,0.23863714738947764,True,False,True,False,4.162028321887116,False,False
