regime,mean_ic,t_stat,n_days,n_rows,fold,arm
range_low_vol,0.028191999259950532,0.8821835690231732,43,3828,6,regime_weighted
bear_high_vol,-0.014628352810431133,-0.49955627861542284,37,6537,6,v1
bear_low_vol,0.056931594703781195,0.5993802046004483,3,180,6,v1
bull_high_vol,0.10722103875918898,5.967876403832945,179,9499,6,v1
bull_low_vol,0.044738866609541614,3.86103323879264,185,23879,6,v1
range_high_vol,0.03290146028956806,1.2829114142891158,52,5835,6,v1
range_low_vol,0.05684170687465581,1.5587866837495787,43,3828,6,v1
bull_high_vol,0.03137761336554187,2.4945116462668895,253,15972,7,regime_weighted
bull_low_vol,-0.041399965445341746,-2.9312940083513044,56,30862,7,regime_weighted
range_high_vol,0.0302939141920948,0.6720946548230332,19,1432,7,regime_weighted
range_low_vol,-0.1162411902319717,-4.135651489932724,2,2070,7,regime_weighted
bull_high_vol,-0.00999961997811681,-0.5982225561025762,253,15972,7,v1
bull_low_vol,0.01691759324080533,1.525916817568638,253,30862,7,v1
range_high_vol,0.054483469024392626,2.922564998040925,19,1432,7,v1
range_low_vol,0.06395914079167545,3.292671505460515,19,2070,7,v1
bear_high_vol,0.004513037761638452,0.18878700141352706,90,10679,8,regime_weighted
bear_low_vol,0.03821207787231182,1.786953697905755,90,6365,8,regime_weighted
bull_high_vol,-0.045600106954401226,-2.5106048321912997,134,6788,8,regime_weighted
bull_low_vol,0.004196760521379331,0.2519112059198584,134,18380,8,regime_weighted
range_high_vol,-0.10008327969032789,-2.691239339171533,47,2990,8,regime_weighted
range_low_vol,-0.024331708535364704,-0.901117952253066,47,5867,8,regime_weighted
bear_high_vol,-0.01251222847985151,-0.6572521647822788,90,10679,8,v1
bear_low_vol,-0.060417369361100044,-3.1344767551568378,90,6365,8,v1
bull_high_vol,-0.0022071641449902674,-0.13656061531017044,134,6788,8,v1
bull_low_vol,-0.015362767633430125,-0.868387460202153,134,18380,8,v1
range_high_vol,-0.012285078246564976,-0.5393105400093846,47,2990,8,v1
range_low_vol,0.016662682449107184,0.8896492287952201,47,5867,8,v1
bear_high_vol,0.009516827183777728,0.4635469925375577,72,7014,9,regime_weighted
bear_low_vol,0.03194365902784702,1.894408479502944,71,6672,9,regime_weighted
bull_high_vol,-0.02310959785293979,-1.2583284568532822,123,6565,9,regime_weighted
bull_low_vol,0.02511052437062743,1.75722185804593,123,16923,9,regime_weighted
range_high_vol,-0.02842752427183523,-1.5370878942488824,75,6528,9,regime_weighted
range_low_vol,0.025690091603910382,1.4745663339793862,73,7739,9,regime_weighted
bear_high_vol,0.007955607584724534,0.4066678565865822,72,7014,9,v1
bear_low_vol,0.016387644513775734,0.8381113298583395,72,6672,9,v1
bull_high_vol,-0.024677674315254125,-1.3124898501149715,123,6565,9,v1
bull_low_vol,0.03993913423376071,2.842940749807156,123,16923,9,v1
range_high_vol,-0.0031415467175369585,-0.14252894914476277,75,6528,9,v1
range_low_vol,0.0029585790865013953,0.19983113198363098,75,7739,9,v1
bear_high_vol,-0.1368003835721011,-2.205457292468743,5,285,10,regime_weighted
bear_low_vol,-0.0890471613694029,-3.160400324096477,5,670,10,regime_weighted
bull_high_vol,0.0036199865921584854,0.19808519629630758,206,7996,10,regime_weighted
bull_low_vol,0.014625778632194561,1.7877171039896331,206,31501,10,regime_weighted
range_high_vol,0.05370535041445754,2.517778071233817,61,2054,10,regime_weighted
range_low_vol,0.04225169342079572,3.7205968781139447,61,9611,10,regime_weighted
bear_high_vol,-0.004355843620822258,-0.21261018140476487,5,285,10,v1
bear_low_vol,-0.03105169169151618,-0.8056679856813298,5,670,10,v1
bull_high_vol,-0.002839564893399211,-0.19528421826058073,206,7996,10,v1
bull_low_vol,-0.0026873749693854835,-0.30182765679555806,206,31501,10,v1
