scan_date,ts,ticker,method,name,direction,mr_score,mr_oversold,confluence_n,above_ema200,rsi,cc_ret,base_n,base_avg_fwd5,base_win5,conviction,needs_5m_confirm,explained_by,liq_tier,entry_px,exp_firstleg_pct,target_px,exp_firstleg_bars,retrace_frac,add_dip_px,exp_wholerun_pct,base_scope
2026-06-26,2026-06-26,CDNS,candlestick,piercing,long,0.6323154520318578,0,2,1,50.122184443800805,2.4549813316762537,11125,0.264,51.9,1.226,True,"[tier] base 11125x avg5 +0.26% win 52%; mr +0.63; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,377.2699890136719,9.185,411.9222,5,0.78,384.8935,14.425,tier
2026-06-26,2026-06-26,PEP,candlestick,bullish_harami,long,0.9804767467541285,0,1,0,42.0306018581565,1.3403060922616339,67665,0.618,54.7,1.218,True,"[tier] base 67665x avg5 +0.62% win 55%; mr +0.98; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,141.38999938964844,9.185,154.3767,5,0.78,144.2471,14.425,tier
2026-06-26,2026-06-26,AMZN,candlestick,tweezer_bottom,long,1.0244424412703519,1,3,0,39.491613301235276,2.5020959746330673,81625,0.286,53.0,1.163,True,"[tier] base 81625x avg5 +0.29% win 53%; mr +1.02; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,232.69000244140625,9.185,254.0626,5,0.78,237.392,14.425,tier
2026-06-26,2026-06-26,AWK,structure,hs_bottom,long,-0.813409005470927,0,3,1,64.91452823060696,2.0615328275240374,11948,0.52,55.1,1.098,True,"[tier] base 11948x avg5 +0.52% win 55%; mr -0.81; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,132.67999267578125,9.185,144.8667,5,0.78,135.3611,14.425,tier
2026-06-26,2026-06-26,DXCM,candlestick,bullish_engulfing,long,0.53636117063223,0,1,1,48.68868658175652,2.170426555938021,71523,0.3,52.5,1.08,True,"[tier] base 71523x avg5 +0.30% win 52%; mr +0.54; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,70.13999938964844,9.185,76.5824,5,0.78,71.5573,14.425,tier
2026-06-26,2026-06-26,ELV,candlestick,tweezer_bottom,long,0.18335696446301533,0,2,1,51.91579678515018,2.029325932802384,81625,0.286,53.0,1.076,True,"[tier] base 81625x avg5 +0.29% win 53%; mr +0.18; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,395.17999267578125,9.185,431.4773,5,0.78,403.1654,14.425,tier
2026-06-26,2026-06-26,SCHW,candlestick,bullish_harami,long,0.17232081157202186,0,2,0,50.26966599645259,1.3752187991551645,67665,0.618,54.7,1.045,True,"[tier] base 67665x avg5 +0.62% win 55%; mr +0.17; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,90.66999816894531,9.185,98.998,5,0.78,92.5022,14.425,tier
2026-06-26,2026-06-26,META,candlestick,tweezer_bottom,long,1.0733236587587898,1,2,0,37.38451272984231,1.3594423985837434,81625,0.286,53.0,1.032,True,"[tier] base 81625x avg5 +0.29% win 53%; mr +1.07; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,550.25,9.185,600.7905,5,0.78,561.3689,14.425,tier
2026-06-26,2026-06-26,ISRG,candlestick,bullish_engulfing,long,1.0141336257332683,1,2,0,41.334436401639806,1.2534738760095587,71523,0.3,52.5,1.021,True,"[tier] base 71523x avg5 +0.30% win 52%; mr +1.01; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,404.70001220703125,9.185,441.8717,5,0.78,412.8778,14.425,tier
2026-06-26,2026-06-26,ISRG,candlestick,tweezer_bottom,long,1.0141336257332683,1,2,0,41.334436401639806,1.2534738760095587,81625,0.286,53.0,1.009,True,"[tier] base 81625x avg5 +0.29% win 53%; mr +1.01; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,404.70001220703125,9.185,441.8717,5,0.78,412.8778,14.425,tier
